Epoch	EpRet	EpLen	TotalEnvInteracts	Time	VVals_1	LossPi_1	LossV_1	Entropy_1	KL_1	ClipFrac_1
0	13.002144	97.333336	5000	4.414095163345337	0.01329868	1.3961792e-07	31.380756	0.9189386	0.0058837244	0.0426
1	17.122921	128.20512	10000	11.504872798919678	0.114350356	1.01280214e-07	44.37487	0.91892344	0.0018560799	0.0008
2	22.230497	165.3	15000	18.78318977355957	0.1943709	-1.4686584e-08	61.37425	0.9185314	0.0027838915	0.0014
3	37.021935	273.27777	20000	22.376314878463745	0.27266005	9.069443e-08	94.548935	0.9181196	0.0004715381	0.0006
4	35.060776	257.44446	25000	25.92492365837097	0.37179136	-1.8882751e-07	92.80195	0.91774416	0.000543441	0.0
5	41.00386	296.875	30000	29.541916847229004	0.3959734	-1.17874144e-07	103.73671	0.917599	0.0006799964	0.0
6	57.56592	413.54544	35000	33.0776309967041	0.49462548	-9.727478e-09	121.52449	0.917437	0.00036980966	0.0
7	69.2131	493.8889	40000	37.079216718673706	0.5772477	9.6654894e-08	131.30411	0.9171548	0.00015938027	0.0
8	80.681244	566.25	45000	42.55652928352356	0.72898966	1.8835068e-07	133.32893	0.916812	-0.00013370518	0.0
9	87.4147	614.25	50000	46.55557465553284	0.8518582	-1.1825561e-07	133.74734	0.91644543	0.00064701226	0.0
10	87.795235	614.375	55000	51.90311360359192	0.99527156	4.1241645e-07	131.31143	0.9160418	0.000685268	0.0
11	90.36006	624.875	60000	55.82407808303833	1.184101	-2.784729e-08	133.28737	0.9156502	-0.00047653046	0.0
12	87.02772	603.25	65000	59.6663703918457	1.3794298	-1.9025802e-07	123.68764	0.9152844	8.349643e-05	0.0
13	88.19945	615.5	70000	67.12975597381592	1.5975231	7.5149536e-08	119.00366	0.9149744	0.0009255887	0.0
14	86.66221	608.25	75000	71.24501824378967	1.9089986	-2.2506715e-08	110.11359	0.9147035	0.0007195074	0.0
15	69.02283	488.2	80000	74.98565554618835	2.2605605	3.9396286e-07	95.937874	0.9144509	2.6273894e-05	0.0
16	45.070114	332.06668	85000	79.69926047325134	2.6529903	-4.8542024e-08	67.91749	0.91416544	-6.6517045e-05	0.0
17	42.28999	310.13333	90000	84.3995430469513	3.0688672	-1.17397306e-07	60.089825	0.91387266	-5.1955794e-05	0.0
18	66.28615	478.4	95000	91.90284037590027	3.3285313	2.0332337e-07	70.8396	0.91362405	0.00038402353	0.0
19	60.794456	437.18182	100000	95.84570789337158	3.614604	5.7315827e-08	66.899734	0.9133873	0.0009341885	0.0
20	85.98429	606.75	105000	103.38230419158936	3.726781	6.427765e-08	74.80377	0.91312265	-0.00047794016	0.0
21	86.68758	605.75	110000	107.25658249855042	4.069679	-1.2187958e-07	71.98218	0.9128543	-3.7691498e-05	0.0
