Epoch	EpRet	EpLen	TotalEnvInteracts	Time	VVals_1	LossPi_1	LossV_1	Entropy_1	KL_1	ClipFrac_1
0	136.93987	882.4	5000	3.7106032371520996	0.0059824456	-4.5394899e-07	202.40096	0.9189386	0.0013304646	0.009
1	135.8901	879.0	10000	11.357028245925903	0.10514121	-4.9276355e-07	197.67235	0.91893244	0.00080295734	0.0016
2	122.92322	798.1667	15000	15.441258192062378	0.19559586	6.1388016e-07	187.215	0.9185326	0.0021612546	0.0012
3	119.14893	771.6667	20000	19.54724097251892	0.29043555	4.2190553e-07	185.27882	0.9182004	0.0010544411	0.0
4	132.82254	856.8	25000	24.021356344223022	0.37597963	-1.2454987e-07	191.9298	0.9178421	2.0848012e-05	0.0
5	142.11636	915.4	30000	28.82220983505249	0.45543265	3.4132003e-07	190.03242	0.91746163	0.00025450214	0.0
6	127.41067	821.6667	35000	32.696988105773926	0.59620124	-7.4043277e-07	182.55948	0.917063	0.0003074448	0.0
7	139.29347	899.4	40000	36.454866886138916	0.7165259	4.401207e-07	182.212	0.9166844	0.0007233145	0.0
8	128.83272	831.4	45000	41.0239839553833	0.8369133	-2.2411346e-07	179.65349	0.9163205	-0.0004175938	0.0
9	129.04218	833.6	50000	44.93726849555969	0.99705803	3.7441254e-07	174.66446	0.91594815	0.0001419975	0.0
10	132.06892	850.0	55000	49.425570011138916	1.1603197	-2.510071e-07	171.98448	0.9155488	0.0006447285	0.0
11	118.87991	769.0	60000	53.92843580245972	1.3706322	-1.6918182e-07	158.94003	0.91514343	0.00016995368	0.0
12	107.53156	699.7143	65000	58.645955324172974	1.580582	1.01852415e-07	148.02596	0.9147643	0.00013075705	0.0
13	116.30468	756.3333	70000	62.53989100456238	1.7811689	-3.9291383e-08	147.33258	0.91435987	4.6442674e-05	0.0
14	123.11007	798.1667	75000	66.35033416748047	2.0771239	2.5081635e-08	141.52638	0.91395575	0.00039928276	0.0
15	115.47271	752.3333	80000	70.53732681274414	2.344059	-1.1672974e-07	133.84427	0.9135918	-2.7445674e-05	0.0
16	104.92762	684.1429	85000	78.02926278114319	2.669019	1.2226104e-07	121.1378	0.9132735	0.00014006654	0.0
17	88.42282	584.25	90000	83.28116750717163	2.983677	2.1886825e-07	105.14572	0.9129469	0.0004589943	0.0
18	84.37488	558.625	95000	87.31492853164673	3.3263462	-1.7786026e-07	98.14337	0.91266346	0.00086792413	0.0
19	79.41166	528.3333	100000	91.51139831542969	3.6892083	-1.2321472e-07	85.882385	0.9124797	0.00039570435	0.0
20	78.43913	524.0	105000	96.9568383693695	4.0347548	-1.5897751e-07	79.0026	0.91224563	9.6825075e-05	0.0
21	75.461945	504.8889	110000	102.10877585411072	4.3746066	1.1630058e-07	73.21057	0.9119966	0.0001995149	0.0
22	74.417465	498.2	115000	106.52184796333313	4.6963744	1.121521e-07	66.84397	0.91177636	0.0005848462	0.0
23	71.59317	482.0	120000	114.09382462501526	5.040426	2.9373169e-08	59.028763	0.9116113	8.6555694e-05	0.0
24	71.22537	479.0	125000	118.09916281700134	5.357288	2.07901e-08	54.929382	0.91147834	0.00038878652	0.0
25	71.54585	482.1	130000	123.52505230903625	5.664011	1.1825562e-08	50.769135	0.91132146	0.00067739974	0.0
26	69.077835	466.3	135000	128.92303037643433	5.9504237	-3.71933e-08	46.97612	0.9111617	0.0003653804	0.0
27	67.115616	456.3	140000	133.42748260498047	6.2049704	-7.724762e-09	42.718815	0.91090935	0.00094262353	0.0
28	67.771904	459.0	145000	140.85496520996094	6.450568	1.9073487e-09	40.587788	0.9106349	0.0018381884	0.0
29	64.4057	442.0	150000	144.7134199142456	6.688348	-2.9957295e-08	34.534916	0.91036016	-0.00017831397	0.0
30	64.21217	440.54544	155000	148.94506001472473	6.899654	-5.7697296e-08	32.577286	0.9100888	-0.00030651694	0.0
31	65.12973	445.0909	160000	153.02873301506042	7.0875297	1.1348725e-08	31.72599	0.9098623	0.0013078126	0.0
32	64.4068	440.81818	165000	160.558119058609	7.2736516	1.1444092e-09	29.73856	0.9096906	0.00061005336	0.0
33	64.40571	441.36365	170000	165.23349905014038	7.4345946	7.629395e-09	28.576965	0.9095906	5.982268e-05	0.0
34	64.56387	443.54544	175000	170.6105751991272	7.590825	2.3078918e-08	27.427612	0.9094232	0.00077330356	0.0
35	65.50766	448.0909	180000	175.9248983860016	7.7256627	-6.5517426e-08	27.212347	0.9091824	-8.343482e-05	0.0
36	66.10137	451.0	185000	181.32510352134705	7.8556376	-2.3937226e-08	26.693966	0.90898323	0.00090686826	0.0002
37	66.5011	455.6	190000	185.85081028938293	7.988061	2.9754638e-08	26.369732	0.9088211	0.000998646	0.0002
38	66.796906	453.1	195000	189.88199639320374	8.1032715	-6.542206e-08	26.435793	0.9086135	0.00077638007	0.0
39	67.50297	460.8	200000	193.6741077899933	8.215473	-1.373291e-08	25.102587	0.9083596	0.0010116552	0.0
40	64.3004	441.63635	205000	198.26734590530396	8.324939	-2.6798249e-08	22.469149	0.90806484	0.00023815072	0.0
41	65.03331	447.9091	210000	202.7776300907135	8.425583	-1.0538101e-08	21.953558	0.9077687	0.0015883269	0.0
42	61.873947	431.72726	215000	206.5011088848114	8.526986	4.4703484e-08	19.765385	0.90752864	0.0021261962	0.0022
43	58.507336	411.75	220000	210.51082944869995	8.613954	-3.1089783e-08	17.932028	0.9073505	0.0041120495	0.0394
44	55.944637	398.83334	225000	214.77002811431885	8.70348	9.346008e-09	16.329315	0.90722394	0.004185579	0.035
45	44.82228	324.4	230000	222.25199675559998	8.79506	3.0517577e-09	14.901739	0.9071206	0.0025716675	0.0094
46	31.07834	224.0	235000	226.1998589038849	8.91312	1.9550324e-09	14.273764	0.9069083	0.0009800827	0.0004
47	47.48919	340.14285	240000	230.73648715019226	8.939294	2.0599366e-08	13.837284	0.90670556	0.004204661	0.041
48	58.01994	412.5	245000	234.580659866333	8.95572	-3.6430357e-08	16.209988	0.90650225	0.0042894953	0.03
49	60.555508	425.72726	250000	242.07280850410461	9.008657	8.106232e-09	17.394447	0.90628165	0.0050949655	0.0082
50	68.330864	473.5	255000	246.73142981529236	9.047811	-4.9591065e-09	19.208462	0.90600467	0.00031011924	0.0012
51	69.97892	479.3	260000	251.22856521606445	9.098195	-2.5463104e-08	20.0818	0.90580624	0.0008053397	0.0
52	74.55849	507.1111	265000	258.7493453025818	9.144458	-1.7547608e-08	21.671997	0.90564007	8.2578066e-05	0.0
53	72.41524	493.0	270000	263.60919642448425	9.200061	4.7492982e-08	20.723854	0.9055093	0.0002918732	0.0
54	75.98953	520.3333	275000	268.97328901290894	9.265425	-1.0919571e-08	20.38597	0.90540224	0.00032033562	0.0
55	77.17767	526.1111	280000	272.8884437084198	9.325322	-3.0231476e-08	20.645195	0.9053395	-0.0001570048	0.0
56	79.26109	537.44446	285000	276.8922321796417	9.385165	1.0681152e-08	20.816973	0.90530574	0.00013962813	0.0
57	80.295586	546.1111	290000	282.1933434009552	9.436159	1.7547608e-08	20.622044	0.9052541	0.0005804351	0.0
58	93.606316	630.2857	295000	286.5805160999298	9.500123	3.8051606e-08	22.798601	0.90528125	0.00096939114	0.0
59	89.87208	603.125	300000	290.872759103775	9.572436	4.005432e-09	21.850492	0.90524864	0.0005449385	0.0
60	90.46747	604.0	305000	295.7968018054962	9.613778	3.2043456e-08	22.285091	0.90525764	0.00093785743	0.0
61	103.39496	689.8571	310000	300.11851978302	9.67156	4.7540663e-08	23.311138	0.9053054	0.0002052229	0.0
62	104.282524	689.1429	315000	304.15205454826355	9.7404	1.4400483e-08	24.097626	0.90529394	0.0010419288	0.0
63	91.837204	615.25	320000	308.0539581775665	9.852918	-4.6920775e-08	20.859566	0.90522844	0.00028628303	0.0
64	98.875786	660.0	325000	312.7067563533783	9.906177	-9.441376e-09	21.614159	0.90515286	9.074318e-05	0.0
65	90.041374	610.25	330000	319.3058850765228	10.003708	3.528595e-09	18.931086	0.9050264	0.0016693131	0.0002
66	88.502335	602.75	335000	326.7410535812378	10.093202	2.0217895e-08	18.007048	0.9049409	0.0006938823	0.0
67	81.65388	558.875	340000	330.59787011146545	10.163877	4.196167e-09	17.219692	0.90491533	0.001254797	0.0
68	80.65958	551.0	345000	335.4578080177307	10.229951	-4.9591065e-09	17.053007	0.9048742	0.0015191607	0.0
69	80.08725	553.1111	350000	339.48058676719666	10.29568	-7.915497e-09	16.009113	0.90478945	-5.0838877e-05	0.0
70	83.21877	572.0	355000	344.31164026260376	10.354582	3.4427643e-08	16.303059	0.9047766	0.0013988793	0.0004
71	84.42316	583.375	360000	348.25278067588806	10.416393	1.707077e-08	15.675978	0.90473634	0.0011548816	0.001
72	85.336945	581.875	365000	353.4245591163635	10.47174	1.2493134e-08	16.352428	0.90470695	0.0003804579	0.0002
